province,year,manslaughter,theft,scam
Jaen,2023,2,1105,841
Leon,2023,4,1145,870
Lleida,2023,3,1069,477
La Rioja,2023,3,857,419
Lugo,2023,1,541,478
Madrid,2023,33,26686,10272
Malaga,2023,14,6410,4199
Murcia,2023,15,3603,2679
Navarra,2023,8,1522,834
Ourense,2023,0,480,333
Asturias,2023,6,3132,1981
Palencia,2023,0,250,404
Las Palmas,2023,7,3868,2272
Pontevedra,2023,4,2025,1409
Salamanca,2023,2,1161,666
Santa Cruz de Tenerife,2023,12,2813,1734
Cantabria,2023,0,1554,1057
Segovia,2023,0,219,325
Sevilla,2023,10,4403,2498
Soria,2023,0,110,288
Teruel,2023,15,99,149
Valencia,2023,3,9548,4855
Bizkaia,2023,2,16,169
Zaragoza,2023,1,2497,1448
Melilla,2023,6,311,143
